Détails des ventes P-1
Période,Date de début,Date de fin,Nombre total de ventes,Quantité totale vendue,Total des frais de livraison,Total des réductions,Total de TVA,Total des ventes HT,Total des ventes TTC
Mois,2024-07-01,2024-07-31,0,0,0.0,0.0,0.0,0.0,0.0

Détails des ventes
Date de début,Frais de livraison,Réduction,Total HT,Total TTC,TVA,Quantité d'éléments
2024-08-31,114.8,1439.96,14452.28,16017.58,2890.46,54

Prédictions
Nom du produit,Date de prédiction de vente,Total TTC,Quantité de prédiction,Fiabilité (%)
Eveil,2024-08-01,299.98,2,98.67
Expressive,2024-08-01,249.99,1,100.0
Escapade,2024-08-01,199.98,2,99.19
Friteuse Pro,2024-08-01,79.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-01,599.99,1,100.0
Mixeur Eco Plus,2024-08-01,99.99,1,100.0
Grille pain Deluxe,2024-08-01,49.99,1,100.0
Rive,2024-08-01,90.0,1,100.0
Rive,2024-08-02,90.0,1,100.0
Expressive,2024-08-02,249.99,1,100.0
Escapade,2024-08-02,99.99,1,99.19
Grille pain Deluxe,2024-08-02,49.99,1,100.0
Mixeur Eco Plus,2024-08-02,99.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-02,599.99,1,100.0
Friteuse Pro,2024-08-02,79.99,1,100.0
Eveil,2024-08-02,299.98,2,98.67
Cuisinière à Gaz 5 Feux,2024-08-03,599.99,1,100.0
Friteuse Pro,2024-08-03,79.99,1,100.0
Escapade,2024-08-03,99.99,1,99.19
Expressive,2024-08-03,249.99,1,100.0
Eveil,2024-08-03,299.98,2,98.67
Rive,2024-08-03,90.0,1,100.0
Grille pain Deluxe,2024-08-03,49.99,1,100.0
Mixeur Eco Plus,2024-08-03,99.99,1,100.0
Grille pain Deluxe,2024-08-04,49.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-04,599.99,1,100.0
Expressive,2024-08-04,249.99,1,100.0
Friteuse Pro,2024-08-04,79.99,1,100.0
Escapade,2024-08-04,99.99,1,99.19
Rive,2024-08-04,90.0,1,100.0
Eveil,2024-08-04,299.98,2,98.67
Mixeur Eco Plus,2024-08-04,99.99,1,100.0
Grille pain Deluxe,2024-08-05,49.99,1,100.0
Friteuse Pro,2024-08-05,79.99,1,100.0
Eveil,2024-08-05,299.98,2,98.67
Mixeur Eco Plus,2024-08-05,99.99,1,100.0
Escapade,2024-08-05,99.99,1,99.19
Expressive,2024-08-05,249.99,1,100.0
Rive,2024-08-05,90.0,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-05,599.99,1,100.0
Escapade,2024-08-06,99.99,1,99.19
Grille pain Deluxe,2024-08-06,49.99,1,100.0
Eveil,2024-08-06,299.98,2,98.67
Cuisinière à Gaz 5 Feux,2024-08-06,599.99,1,100.0
Rive,2024-08-06,90.0,1,100.0
Friteuse Pro,2024-08-06,79.99,1,100.0
Mixeur Eco Plus,2024-08-06,99.99,1,100.0
Expressive,2024-08-06,249.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-07,599.99,1,100.0
Mixeur Eco Plus,2024-08-07,99.99,1,100.0
Eveil,2024-08-07,299.98,2,98.67
Grille pain Deluxe,2024-08-07,49.99,1,100.0
Friteuse Pro,2024-08-07,79.99,1,100.0
Escapade,2024-08-07,199.98,2,99.19
Rive,2024-08-07,90.0,1,100.0
Expressive,2024-08-07,249.99,1,100.0
Rive,2024-08-08,90.0,1,100.0
Eveil,2024-08-08,299.98,2,98.67
Escapade,2024-08-08,99.99,1,99.19
Cuisinière à Gaz 5 Feux,2024-08-08,599.99,1,100.0
Expressive,2024-08-08,249.99,1,100.0
Mixeur Eco Plus,2024-08-08,99.99,1,100.0
Friteuse Pro,2024-08-08,79.99,1,100.0
Grille pain Deluxe,2024-08-08,49.99,1,100.0
Mixeur Eco Plus,2024-08-09,99.99,1,100.0
Eveil,2024-08-09,299.98,2,98.67
Cuisinière à Gaz 5 Feux,2024-08-09,599.99,1,100.0
Expressive,2024-08-09,249.99,1,100.0
Grille pain Deluxe,2024-08-09,49.99,1,100.0
Rive,2024-08-09,90.0,1,100.0
Friteuse Pro,2024-08-09,79.99,1,100.0
Escapade,2024-08-09,99.99,1,99.19
Grille pain Deluxe,2024-08-10,49.99,1,100.0
Rive,2024-08-10,90.0,1,100.0
Escapade,2024-08-10,199.98,2,99.19
Cuisinière à Gaz 5 Feux,2024-08-10,599.99,1,100.0
Expressive,2024-08-10,249.99,1,100.0
Mixeur Eco Plus,2024-08-10,99.99,1,100.0
Friteuse Pro,2024-08-10,79.99,1,100.0
Eveil,2024-08-10,299.98,2,98.67
Expressive,2024-08-11,249.99,1,100.0
Rive,2024-08-11,90.0,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-11,599.99,1,100.0
