Détails des ventes P-1
Période,Date de début,Date de fin,Nombre total de ventes,Quantité totale vendue,Total des frais de livraison,Total des réductions,Total de TVA,Total des ventes HT,Total des ventes TTC
Semaine,2024-08-19,2024-08-25,0,0,0.0,0.0,0.0,0.0,0.0

Détails des ventes
Date de début,Frais de livraison,Réduction,Total HT,Total TTC,TVA,Quantité d'éléments
2024-09-01,114.8,1439.96,14452.28,16017.58,2890.46,54

Prédictions
Nom du produit,Date de prédiction de vente,Total TTC,Quantité de prédiction,Fiabilité (%)
Eveil,2024-08-26,299.98,2,98.67
Grille pain Deluxe,2024-08-26,49.99,1,100.0
Mixeur Eco Plus,2024-08-26,99.99,1,100.0
Friteuse Pro,2024-08-26,79.99,1,100.0
Expressive,2024-08-26,249.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-26,599.99,1,100.0
Rive,2024-08-26,90.0,1,100.0
Escapade,2024-08-26,99.99,1,99.19
Cuisinière à Gaz 5 Feux,2024-08-27,599.99,1,100.0
Expressive,2024-08-27,249.99,1,100.0
Rive,2024-08-27,90.0,1,100.0
Mixeur Eco Plus,2024-08-27,99.99,1,100.0
Escapade,2024-08-27,99.99,1,99.19
Eveil,2024-08-27,299.98,2,98.67
Grille pain Deluxe,2024-08-27,49.99,1,100.0
Friteuse Pro,2024-08-27,79.99,1,100.0
Mixeur Eco Plus,2024-08-28,99.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-28,599.99,1,100.0
Rive,2024-08-28,90.0,1,100.0
Friteuse Pro,2024-08-28,79.99,1,100.0
Grille pain Deluxe,2024-08-28,49.99,1,100.0
Expressive,2024-08-28,249.99,1,100.0
Eveil,2024-08-28,299.98,2,98.67
Eveil,2024-08-29,299.98,2,98.67
Grille pain Deluxe,2024-08-29,49.99,1,100.0
Friteuse Pro,2024-08-29,79.99,1,100.0
Escapade,2024-08-29,99.99,1,99.19
Rive,2024-08-29,90.0,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-29,599.99,1,100.0
Expressive,2024-08-29,249.99,1,100.0
Mixeur Eco Plus,2024-08-29,99.99,1,100.0
Rive,2024-08-30,90.0,1,100.0
Eveil,2024-08-30,299.98,2,98.67
Grille pain Deluxe,2024-08-30,49.99,1,100.0
Expressive,2024-08-30,249.99,1,100.0
Friteuse Pro,2024-08-30,79.99,1,100.0
Escapade,2024-08-30,99.99,1,99.19
Mixeur Eco Plus,2024-08-30,99.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-30,599.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-08-31,599.99,1,100.0
Mixeur Eco Plus,2024-08-31,99.99,1,100.0
Grille pain Deluxe,2024-08-31,49.99,1,100.0
Expressive,2024-08-31,249.99,1,100.0
Rive,2024-08-31,90.0,1,100.0
Friteuse Pro,2024-08-31,79.99,1,100.0
Eveil,2024-08-31,299.98,2,98.67
Escapade,2024-08-31,99.99,1,99.19
Friteuse Pro,2024-09-01,79.99,1,100.0
Cuisinière à Gaz 5 Feux,2024-09-01,599.99,1,100.0
Mixeur Eco Plus,2024-09-01,99.99,1,100.0
Grille pain Deluxe,2024-09-01,49.99,1,100.0
Expressive,2024-09-01,249.99,1,100.0
Eveil,2024-09-01,299.98,2,98.67
Escapade,2024-09-01,199.98,2,99.19
Rive,2024-09-01,90.0,1,100.0
